Nam et prénom de l'exposant;Informations complémentaire;Numéro;Titre;Informations complémentaires
;16. — L’Homme blessé.;16;L’Homme blessé. Signé : G. Courbet, avec paraphe. Sans date. Expositions particulières de 1855 et de 1867. Le catalogue de cette dernière exposition place l'exécution de l’Homme blessé à la date de 1844. C’est évidemment une erreur : il suf¬ fit d’examiner la facture libre et souple du ta¬ bleau, pour être convaincu que ce n’est point là une oeuvre de débutant. L’erreur ayant été reproduite dans le catalogue de la vente du;avec paraphe. Sans date. Expositions particulières de 1855 et de 1867. Le catalogue de cette dernière exposition place l'exécution de l’Homme blessé à la date de 1844. C’est évidemment une erreur : il suffit d’examiner la facture libre et souple du tableau, pour être convaincu que ce n’est point là une oeuvre de débutant. L’erreur ayant été reproduite dans le catalogue de la vente du;
;16. — L’Homme blessé.;9;décembre 1881, nous croyons devoir la recti¬ fier. La véritable date est 1854, comme l’atteste le catalogue de la première exposition privée du peintre, en 1855. Acheté pour l’État à la vente du 9 dé¬ cembre 1851. T. — H. 8.90. L. 0.81.;nous croyons devoir la rectifier. La véritable date est 1854, comme l’atteste le catalogue de la première exposition privée du peintre, en 1855. Acheté pour l’État à la vente du 9 décembre 1851. T. — H. 8.90. L. 0.81.;
;17. — Le Chasseur badois.;17;Le Chasseur badois. Signé à gauche : .. 59. Gustave Courbet. T. — H. 1.18. L. 1.75. Appartient à M. D... M...;;
;18. — Portrait, de M. Gueymard, artiste de;18; — Portrait, de M. Gueymard, artiste de l’Opéra, dans le rôle de Robert le Diable. Signé à gauche : G. Courbet. Sans date. Salon de 1857. T. — H. 1.57. L. 1.06. Appartient à M. Adolphe Reignard.;de M. Gueymard, artiste de l’Opéra, dans le rôle de Robert le Diable. Signé à gauche : G. Courbet. Sans date. Salon de 1857. T. — H. 1.57. L. 1.06. Appartient à M. Adolphe Reignard.;
;19. — Baigneuse vue de dos.;19;Baigneuse vue de dos. Signé à droite : ..68. Courbet Gustave. T. — H. 1.28. L. 0.97.;;
;20. — Les Amants dans la campagne, sen¬;20;Les Amants dans la campagne, sen¬ timents du jeune âge. Signé à droite : G. C. 1844. Expositions particulières de 1855 et 1867. T. — H. 0 76. L. 0.59. Appartient à M. Haro.;sentiments du jeune âge. Signé à droite : G. C. 1844. Expositions particulières de 1855 et 1867. T. — H. 0 76. L. 0.59. Appartient à M. Haro.;
;21. — Une Dame espagnole.;21;Une Dame espagnole. Signé à gauche : ..55. G. Courbet. Exposition universelle de 1855. xposition particulière de 1867. T. — H. 0.80. L. 0.63. Appartient à M. Paton.;;
;22. — La Dormeuse, étude.;22;La Dormeuse, étude. Signé à droite : G. Courbet. Sans date. T. — H. 0.54. L. 0.63 Appartient à M. Bensusan.;étude. Signé à droite : G. Courbet. Sans date. T. — H. 0.54. L. 0.63 Appartient à M. Bensusan.;
;23. — Cheval de chasse sellé et boule-dogue;23;Cheval de chasse sellé et boule-dogue en forêt, épisode de chasse à courre. Signé à gauche : ..63. Gustave Courbet. Salon de 1863. Exposition particulière de 1867. Au catalogue du Salon de 1863, ce tableau portait le titre de la Chasse au renard. L’auteur lui ayant fait subir quelques modifications après coup, un changement dans le titre devint néces¬ saire : le tableau reparut à l’exposition parti¬ culière de 1867, sous cette désignation que nous relevons sur le catalogue : « Le Cheval du pi¬ queur, épisode de chasse à courre. T. — H. 1.12. L. 1.35. Appartient à M. Recipon, député.;épisode de chasse à courre. Signé à gauche : ..63. Gustave Courbet. Salon de 1863. Exposition particulière de 1867. Au catalogue du Salon de 1863, ce tableau portait le titre de la Chasse au renard. L’auteur lui ayant fait subir quelques modifications après coup, un changement dans le titre devint nécessaire : le tableau reparut à l’exposition particulière de 1867, sous cette désignation que nous relevons sur le catalogue : « Le Cheval du piqueur, épisode de chasse à courre. T. — H. 1.12. L. 1.35. Appartient à M. Recipon, député.;
;24. — La Femme à la vague.;24;La Femme à la vague. Signé à gauche : ..68. G. Courbet. T. — H. 0.63. L. 0.53. Appartient à M. Faure, de l'Opéra.;de l'Opéra.;
