Nam et prénom de l'exposant;Informations complémentaire;Numéro;Titre;Informations complémentaires
CONQUET (Henri);, né à Paris. - 58, boulevard Emile-Augier, 16e.;683;Saint-Cloud.;;
CONQUET (Henri);, né à Paris. - 58, boulevard Emile-Augier, 16e.;684;La côte près de Batz ;(Loire-Inférieure).;
CONQUET (Henri);, né à Paris. - 58, boulevard Emile-Augier, 16e.;685;Portrait de M. R...;;
CONTANT;, né à Blois. — 89, quai Ulysse-Besnard, Blois (Loir-et-Cher).;686;Matin ;(Blois).;
CONTANT;, né à Blois. — 89, quai Ulysse-Besnard, Blois (Loir-et-Cher).;687;Soir ;(Cagnes).;
CONTANT;, né à Blois. — 89, quai Ulysse-Besnard, Blois (Loir-et-Cher).;688;Printemps ;(Cros de Cagnes).;
CORFU (Georges-Félicien);, né à Jonchery-sur-Vesles (Marne). — 86, rue Lamarck, 18e.;689;Le repos, Créteil ;Créteil (Seine).;
CORFU (Georges-Félicien);, né à Jonchery-sur-Vesles (Marne). — 86, rue Lamarck, 18e.;690;L’effort.;;
CORFU (Georges-Félicien);, né à Jonchery-sur-Vesles (Marne). — 86, rue Lamarck, 18e.;691;Paysage.;;
CORlN (Edwin-P.);, né à Londres. — 15, rue Arsène-Houssaye, 8e.;692;Palais de Hampton Court.;;
CORlN (Edwin-P.);, né à Londres. — 15, rue Arsène-Houssaye, 8e.;693;Palais de Hampton-Court ;(triptyque).;
CORlN (Edwin-P.);, né à Londres. — 15, rue Arsène-Houssaye, 8e.;694;La baie de Combe-Martin ;(Angleterre).;
CORNILLON-BARNAVE (Charles-Marie-Joseph),;né à Marseille. - 21, rue Geoffroy-Saint-Hilaire.;695;Ecolier, portrait ;portrait (dessin sanguine).;
COULON (Gustave);, né à Paris. — 12, rue de la Victoire, 9e.;656;Bénévent-l’Abbaye ;(aquarelle).;
COULON (Gustave);, né à Paris. — 12, rue de la Victoire, 9e.;697;Marine ;(aquarelle).;
COULON (Gustave);, né à Paris. — 12, rue de la Victoire, 9e.;698;Gargilesse ;(aquarelle).;
COULON (Henri);, né à Paris. — 37, rue de Châteaudun, 9e.;699;La vallée du Verger.;;
COULON (Henri);, né à Paris. — 37, rue de Châteaudun, 9e.;700;La vallée de la Creuse au Pin ;(Indre).;
COULON (Henri);, né à Paris. — 37, rue de Châteaudun, 9e.;701;Le rocher des Fileuses à Crozan ;(Creuse).;
COURCHÉ (Félix);, né à Paris. - 73, rue Louis- Blanc, 10e.;702;Bacchante au cygne.;;
COURCHÉ (Félix);, né à Paris. - 73, rue Louis- Blanc, 10e.;703;Bacchante à la pomme.;;
COURCHÉ (Félix);, né à Paris. - 73, rue Louis- Blanc, 10e.;704;Frileuse.;;
COURCIER (Mlle Hélène);, née à Aire-sur-la-Lys (Pas-de-Calais). — 83, avenue de Saint-Cloud, Versailles.;705;Etudes de Bretagne.;;
COURCIER (Mlle Hélène);, née à Aire-sur-la-Lys (Pas-de-Calais). — 83, avenue de Saint-Cloud, Versailles.;706;Un marché au Mans ;(esquisse).;
COURCIER (Mlle Hélène);, née à Aire-sur-la-Lys (Pas-de-Calais). — 83, avenue de Saint-Cloud, Versailles.;707;Sous-bois à l’automne ;(Versailles).;
COUSIN (Charles);, né à Paris. — 10, place Dancourt, 18e, et Maison Pellerin, 30, rue d’Enghien, 9e.;708;Grand canal à Venise ;(appartient à M. E. P...);
COUSIN (Charles);, né à Paris. — 10, place Dancourt, 18e, et Maison Pellerin, 30, rue d’Enghien, 9e.;709;Un canal à Venise.;;
COUSIN (Charles);, né à Paris. — 10, place Dancourt, 18e, et Maison Pellerin, 30, rue d’Enghien, 9e.;710;Triptyque ;(Etudes).;
COUSSEDIÈRE (Charles-Jean);, né à Paris. — Rue Bonne-Mouche, Montévrain (Seine-et-Marne).;711;Etude.;;
COUSSEDIÈRE (Charles-Jean);, né à Paris. — Rue Bonne-Mouche, Montévrain (Seine-et-Marne).;712;Etude.;;
COUSSEDIÈRE (Charles-Jean);, né à Paris. — Rue Bonne-Mouche, Montévrain (Seine-et-Marne).;713;Paysage.;;
COUSTURIER (Lucie);, née à Paris. — 43, boulevard Beauséjour, 16e.;714;Saule pleureur.;;
COUSTURIER (Lucie);, née à Paris. — 43, boulevard Beauséjour, 16e.;715;Nature morte.;;
COUSTURIER (Mme Henriette);, née à Dijon (Côted’Or). — 11, boulevard de Clichy.;716;Des fleurs ;(peinture).;
COUSTURIER (Mme Henriette);, née à Dijon (Côted’Or). — 11, boulevard de Clichy.;717;Santa Maria dei Servi ;(Sienne), aquarelle.;
COUSTURIER (Mme Henriette);, née à Dijon (Côted’Or). — 11, boulevard de Clichy.;718;A Fiesole ;(aquarelle).;
COUTURIER (Claude);, né à Paris. — 33, rue de Longchamp, Neuilly-sur-Seine.;719;La Roseraie du faune ;(coin de parc abandonné).;
COUTURIER (Claude);, né à Paris. — 33, rue de Longchamp, Neuilly-sur-Seine.;720;Fleurs de Nice.;;
COUTURIER (Claude);, né à Paris. — 33, rue de Longchamp, Neuilly-sur-Seine.;721;Au bois de Boulogne.;;
CREED (Ninette);, née à Paris. — 1, avenue Jules- Janin, 16e.;722;Etude de fleurs.;;
CREED (Ninette);, née à Paris. — 1, avenue Jules- Janin, 16e.;723;Etude de tête.;;
CREED (Ninette);, née à Paris. — 1, avenue Jules- Janin, 16e.;724;Nu.;;
CSAKY (Joseph-A.),; né en Hongrie. — 3 bis, place de la Sorbonne, 6e.;725;Groupe de femmes ;(plâtre).;
CSAKY (Joseph-A.),; né en Hongrie. — 3 bis, place de la Sorbonne, 6e.;726;Tête de femme ;(plâtre).;
CURPHEY (Grâce),; née en Ecosse. — 126, boulevard du Montparnasse, 14e.;727;Les hortensias.;;
CURPHEY (Grâce),; née en Ecosse. — 126, boulevard du Montparnasse, 14e.;728;Les violettes.;;
CURPHEY (Grâce),; née en Ecosse. — 126, boulevard du Montparnasse, 14e.;729;Une étude.;;
CUVILLIER (Albert);, né à Paris. — 3 bis, rue d’Athènes, 9e.;730;Quai du Louvre.;;
CUVILLIER (Albert);, né à Paris. — 3 bis, rue d’Athènes, 9e.;731;Port Saint-Bernard.;;
CUVILLIER (Albert);, né à Paris. — 3 bis, rue d’Athènes, 9e.;732;Port Henri IV. ;;
DAMERON (Henri);, né à Gourdon (Saône-et-Loire). — 76, rue Michel-Bizot, 12e.;740;Jeune fille brodant.;;
DAMERON (Henri);, né à Gourdon (Saône-et-Loire). — 76, rue Michel-Bizot, 12e.;741;Une rue à Bry-sur-Marne.;;
DANNENBERG (Alice);, née à Riga. — 87, rue d’Assas.;742;Venise.;;
DANNENBERG (Alice);, née à Riga. — 87, rue d’Assas.;743;Etude.;;
DANNENBERG (Alice);, née à Riga. — 87, rue d’Assas.;744;Effet.;;
DANIS (Georges);, né à Bapaume (Pas-de-Calais). — 28, rue de Neuilly, à Rosny-sous-Bois (Seine).;745;A l'aube.;;
DANIS (Georges);, né à Bapaume (Pas-de-Calais). — 28, rue de Neuilly, à Rosny-sous-Bois (Seine).;746;En permission.;;
D’ANNE TANT (Pierre);, né à Bruxelles. — 6, boulevard Michel-Brézin, Garches (S.-et-O.).;747;Marchand de cresson.;;
D’ANNE TANT (Pierre);, né à Bruxelles. — 6, boulevard Michel-Brézin, Garches (S.-et-O.).;748;Le trait.;;
D’ANNE TANT (Pierre);, né à Bruxelles. — 6, boulevard Michel-Brézin, Garches (S.-et-O.).;749;Brodeuse au métier.;;
DANTU (Georges);, né à Paris. — 14, rue La Fontaine.;750;Sous les glycines mauves du Japon.;;
DANTU (Georges);, né à Paris. — 14, rue La Fontaine.;751;Cerisier rose au Japon.;;
DANTU (Georges);, né à Paris. — 14, rue La Fontaine.;752;Paysage au Japon.;;
DAYNES (Victor);, né à Colmar. —- 115, rue Bolivar.;753;Jeux maternels.;;
DAYNES (Victor);, né à Colmar. —- 115, rue Bolivar.;754;La Loggia dei Lanzi ;(Florence).;
DAYNES (Victor);, né à Colmar. —- 115, rue Bolivar.;755;Le chimiste.;;
DEBIESSE (Philippe);, né à Villefranche (Rhône). — Avenue du Chemin-de-Fer, Raincy.;756;Paysage.;;
DEBIESSE (Philippe);, né à Villefranche (Rhône). — Avenue du Chemin-de-Fer, Raincy.;757;Paysage.;;
DEBIESSE (Philippe);, né à Villefranche (Rhône). — Avenue du Chemin-de-Fer, Raincy.;758;Etudes.;;
