Nam et prénom de l'exposant;Informations complémentaire;Numéro;Titre;Informations complémentaires
RINGENBACH (Emile),; élève de Larcher, né à Nancy. Nancy.;655;Portrait de Mme S...;;
RINGENBACH (Emile),; élève de Larcher, né à Nancy. Nancy.;656;id. M. C...;;
RINGENBACH (Emile),; élève de Larcher, né à Nancy. Nancy.;657;Vallée de la Moselle ;(Liverdun).;
RINGENBACH (Emile),; élève de Larcher, né à Nancy. Nancy.;658;Coucher de soleil.;;
ROBINET (Paul),; élève de Cabat, Meissonnier et Barrias, né à Magny-Vernois (Haute-Saône). Dôle, 9, rue Haute-des-Comards.;659;Matinée de printemps dans la vallée d’Engelberg.;;
ROLLOT (Mlle Esther),; élève de Hippolyte Dubois, née à Nancy. Nancy, rue Gilbert, 3.;660;Environs d’Alger.;;
ROUSSEL (Edmond).;Nancy, 5 bis, rue d'Alliance.;661;Marseille, quai de la Fraternité.;quai de la Fraternité.;
ROUSSEL (Edmond).;Nancy, 5 bis, rue d'Alliance.;662;Banlieue de Marseille, le cabot ;le cabot (Sainte-Marguerite.;
ROUSSEL (Edmond).;Nancy, 5 bis, rue d'Alliance.;663;Le Tréport, plage à marée basse.;plage à marée basse.;
ROUSSEL (Edmond).;Nancy, 5 bis, rue d'Alliance.;664;Boulogne-sur-Mer, jetée du sud-ouest.;jetée du sud-ouest.;
ROUSSEL (Edmond).;Nancy, 5 bis, rue d'Alliance.;665;Maisons de pêcheurs, près Equihen.;près Equihen.;
ROUSSEL (Edmond).;Nancy, 5 bis, rue d'Alliance.;666;Malzéville.;;
ROUSSEL (Edmond).;Nancy, 5 bis, rue d'Alliance.;667;id.;;
ROUSSEL (Edmond).;Nancy, 5 bis, rue d'Alliance.;668;Tomblaine.;;
ROUSSEL (Edmond).;Nancy, 5 bis, rue d'Alliance.;669;Vimereux, Boulogne-sur-Mer.;Boulogne-sur-Mer.;
ROUSSET (Mlle Léontine),; élève de Mme Faivre et de Devilly, née à Sarguemines. Nancy, 33, rue des Carmes.;670;Portrait de Mme E...;;
ROUSSET (Mlle Léontine),; élève de Mme Faivre et de Devilly, née à Sarguemines. Nancy, 33, rue des Carmes.;671;— M. G...;— M. G...;
ROVEL (Henri), élève de Cormon;, né à St-Dié. Saint-Dié.;672;Schlitteur dans les Vosges.;;
ROVEL (Henri), élève de Cormon;, né à St-Dié. Saint-Dié.;673;Chevreuil mort.;;
ROVEL (Henri), élève de Cormon;, né à St-Dié. Saint-Dié.;674;Le cloître de la cathédrale de Saint-Dié,.;;
