Nam et prénom de l'exposant;Informations complémentaire;Numéro;Titre;Informations complémentaires
PEINTURE;Dimitrie GAVRILEAN, né en 1942 à Güra Humorului (Roumanie).;1;La danse de la vie, 1969 ;1969 (huile, 137 x 117).;
PEINTURE;Dimitrie GAVRILEAN, né en 1942 à Güra Humorului (Roumanie).;2;Le temps, 1969 ;1969 (huile 70 x 70). ,;
PEINTURE;Dimitrie GAVRILEAN, né en 1942 à Güra Humorului (Roumanie).;3;La fête de ta nouvelle année, 1969 ;1969 (huile, 110 x 170).;
Silvia RAOU,; née en 1935 à Pietroaia (Roumanie).;4;Colonne, 1969 ;1969 (pierre, 148 x 43 x 43).;
Silvia RAOU,; née en 1935 à Pietroaia (Roumanie).;5;Maternité, 1969 ;1969 (bronze, 155 x 32 x 40).;
Silvia RAOU,; née en 1935 à Pietroaia (Roumanie).;6;Etendards, 1969 ;1969 (acier, 61 x 60 x 60).;
Ethel LUCACI-BAIAS,; née en 1936 à Covasna (Roumanie).;7;Le flot géant, 1967 ;1967 (bois, 85 x 95).;
Ethel LUCACI-BAIAS,; née en 1936 à Covasna (Roumanie).;8;Le nid de l’hirondelle marine, 1967 ;1967 (bois, 96 x 101).;
Ethel LUCACI-BAIAS,; née en 1936 à Covasna (Roumanie).;9;La dynamique marine, 1967 ;1967 (bois, 88 x 152).;
;10 LES QUATRE ELEMENTS, 1969.;10;LES QUATRE ELEMENTS, 1969. Ion STENDL, né en 1939 à Resitza ;1969. Ion STENDL, né en 1939 à Resitza (Roumanie). Peintre-graveur. Theodora MOISESCU-STENDL, née en 1938 à Bucarest Décoratrice. Radu DRAGOMIRESCU, né en 1944 à Rosetzi (Roumanie). Peintre. Radu STOICA, né en 1942 à Bucarest (Roumanie). Peintre.;
Nicolae BRINDUS,; né en 1935 à Bucarest (Roumanie).;11;Psaumes, vers de Tudor Arghezi, 1965.;vers de Tudor Arghezi, 1965.;
;12 Phtora, 1968.;12;Phtora, 1968. Cezar CORNEL, né en 1937 à Bucarest ;1968. Cezar CORNEL, né en 1937 à Bucarest (Roumanie).;
;13Taaroa, 1969.;13;Taaroa, 1969. Corneliu DAN GEORGRIO;1969. Corneliu DAN GEORGRIO;
;14 Blanc-noir, 1967.;14;Blanc-noir, 1967. Costin MIEREANU, né en 1943 à Bucarest ;1967. Costin MIEREANU, né en 1943 à Bucarest (Roumanie).;
;14 Blanc-noir, 1967.;15;Espaces au-delà du dernier, 1969.;1969.;
;14 Blanc-noir, 1967.;16;Espaces II, 1969.;1969.;
;14 Blanc-noir, 1967.;17;Couleurs du temps, 1969.;1969.;
;14 Blanc-noir, 1967.;18;Polymaphies 5 X 7, 1969.;1969.;
;19 Dans la nuit des temps, 1969.;19;Dans la nuit des temps, 1969. Eugen WENDEL, né en 1934 à Valea Rea ;1969. Eugen WENDEL, né en 1934 à Valea Rea (Roumanie).;
;19 Dans la nuit des temps, 1969.;20;Interférences, 1966.;1966.;
Papa Ibra TALL,; né en 1935 à Tivaouane (Sénégal).;1;Point de non retour à John Coltrane, 1968;1968;
Papa Ibra TALL,; né en 1935 à Tivaouane (Sénégal).;2;Pour un héros de la nouvelle Afrique, 1969;1969;
Papa Ibra TALL,; né en 1935 à Tivaouane (Sénégal).;3;La route des Caraïbes, 1969 ;1969 (huile, 130 x 195).;
Anders PETERSEN,; né en 1944 à Stockholm (Suède).;1;D’un quartier de Reperbahn, 1968 ;1968 (noir et blanc).;
Anders PETERSEN,; né en 1944 à Stockholm (Suède).;2;D’un quartier de Reperbahn, 1968 ;1968 (noir et blanc).;
Anders PETERSEN,; né en 1944 à Stockholm (Suède).;3;D’un quartier de Reperbahn, 1968 ;1968 (noir et blanc).;
Anders PETERSEN,; né en 1944 à Stockholm (Suède).;4;D'un quartier de Reperbahn, 1968 ;1968 (noir et blanc).;
Anders PETERSEN,; né en 1944 à Stockholm (Suède).;5;D’un quartier de Reperbahn, 1968 ;1968 (noir et blanc).;
Anders PETERSEN,; né en 1944 à Stockholm (Suède).;6;D'un quartier de Reperbahn, 1968 ;1968 (noir et blanc).;
;7 PUSS (BISE)<.b>, 1969 (4 écrans, 225 x 325, montage de;7;PUSS ;(BISE)<.b>, 1969 (4 écrans, 225 x 325, montage de dessins et de textes). Responsable : Lena SVEDBERG, née en 1946 à Göteborg (Suède). Carl-Johan DE GEER, né en 1938 à Montréal (Canada). Dessinateur-rédacteur. Lars HILLERSBERG, né en 1937 à Gnesta (Suède). Dessinateur-rédacteur. Ulf RAHMBERG, né en 1935 à Boras (Suède). Dessinateur-rédacteur. Peter WANGER, né en 1940 à Göteborg (Suède). Rédacteur.;
Erling JOHANSSON,; né en 1935 à Stockholm (Suède).;8;Anima mundi, 1967 ;1967 (noir et blanc). Fri-film produktion, Stockholm.;
