Nam et prénom de l'exposant;Informations complémentaire;Numéro;Titre;Informations complémentaires
AMAN-JEAN.; — 15, quai Bourbon.;1;Affiche de la seconde geste esthétique.;;
AMAN-JEAN.; — 15, quai Bourbon.;2;Rêverie.;;
AZAMBRE (Etienne).; — 13, rue Bonaparte.;3;La Sainte-Famille.;;
AZAMBRE (Etienne).; — 13, rue Bonaparte.;4;Le Rêve de sainte Cécile.;;
AZAMBRE (Etienne).; — 13, rue Bonaparte.;5;Tête de Femme.;;
AZAMBRE (Etienne).; — 13, rue Bonaparte.;6;De Profundis ;(esquisse).;
BERENGIER.; — 39, rue de Constantinople.;7;Etude de blonde.;;
BERENGIER.; — 39, rue de Constantinople.;8;Patricienne.;;
BERENGIER.; — 39, rue de Constantinople.;9;Enigmatique.;;
BERENGIER.; — 39, rue de Constantinople.;10;Mireille.;;
BERENGIER.; — 39, rue de Constantinople.;11;Hérodiade.;;
BERENGIER.; — 39, rue de Constantinople.;12;Beauté de jadis.;;
BERENGIER.; — 39, rue de Constantinople.;13;L'ironie sexuelle.;;
BERENGIER.; — 39, rue de Constantinople.;14;Le Dauphin.;;
BERENGIER.; — 39, rue de Constantinople.;15;Portrait d’âme.;;
BERENGIER.; — 39, rue de Constantinople.;16;Princesse Lombarde.;;
BERENGIER.; — 39, rue de Constantinople.;17;Prestolet.;;
BERENGIER.; — 39, rue de Constantinople.;18;D’après Lord Byron.;;
BERENGIER.; — 39, rue de Constantinople.;19;Étude lombarde.;;
BERENGIER.; — 39, rue de Constantinople.;20;Étude pour Ariane.;;
BERENGIER.; — 39, rue de Constantinople.;21;Sourire Jupitérien.;;
BERENGIER.; — 39, rue de Constantinople.;22;Léandre.;;
BERENGIER.; — 39, rue de Constantinople.;23;Éutdes.;;
BERENGIER.; — 39, rue de Constantinople.;24;Page.;;
BERENGIER.; — 39, rue de Constantinople.;25;Etude Florentine.;;
BERENGIER.; — 39, rue de Constantinople.;26;Sourire.;;
BERENGIER.; — 39, rue de Constantinople.;27;Hébé.;;
BERENGIER.; — 39, rue de Constantinople.;28;Spazine.;;
BETHUNE (Gaston).; — 10, rue Michel-Ange.;29;Trio ;(pastel).;
BETHUNE (Gaston).; — 10, rue Michel-Ange.;30;Oudine ;(pastel).;
BETHUNE (Gaston).; — 10, rue Michel-Ange.;31;Bayreuth: La Terrasse du théâtre ;(aquarelle).;
