Nam et prénom de l'exposant;Informations complémentaire;Numéro;Titre;Informations complémentaires
DE CONINCK (Mlle Régina);, née à Paris, élève de son père , méd. d’arg., Amiens, 1890. — Rue Voiture, 25, Amiens.;200;« Pour les artistes de la rue ».;;
DEFAUX (Alexandre);, né à Bercy (Seine) , méd 3e cl., Paris, 1874, 2° cl., 1875, x 1881, H. C. — Avenue de Villiers, 18, Paris.;201;Le printemps.;;
DEFAUX (Alexandre);, né à Bercy (Seine) , méd 3e cl., Paris, 1874, 2° cl., 1875, x 1881, H. C. — Avenue de Villiers, 18, Paris.;202;Ma basse-cour.;;
DEHAUSSY (Jules);, né à Péronne, élève de Fragonard et A. Dehaussy, dipl. d’hon, Besancon, Amiens, etc., etc. — A la Guyonnerie, par Orsay (Seine-et-Oise).;203;Y pense-t-il? ;(paysannerie). Voir aux Dessins.;
DELACOUR (Mme Emilie);, née à Paris, élève de M. A. Weisz. — Rue Mariotte, 5, Paris.;204;Japonaiserie.;;
DELACROIX (Henry-Eugène);, né à Solesmes (Nord), élève de Cabanel, méd. 3e cl. Paris, 1876, 2e cl., 1889, méd. d’arg., 1889 E. U : A x. — Boulevard Saint-Jacques, 69, Paris.;205;Le réveil.;;
DELACROIX-GARNIER (Mme Pauline);, née à Paris, élève de MM. Henry Delacroix et Jules Garnier. — Boulevard Saint-Jacques, 69, Paris.;206;Marie la jardinière. Voir aux Dessins.;;
DELAHOGUE (Alexis),; ne à Soissons (Aisne), élève de MM. Henri Caïn et Saintpierre, M. Il., SaintMande. — Rue des Marais, 44, Paris.;207;Vieux puits à Blandy-les-Tours ;(Seine-et-Marne).;
DELAHOGUE (Alexis),; ne à Soissons (Aisne), élève de MM. Henri Caïn et Saintpierre, M. Il., SaintMande. — Rue des Marais, 44, Paris.;208;Etude à Maisons-Alfort.;;
DELAHOGUE (Eugène);, né à Soissons (Aisne), élève de M. Henri Caïn, méd. d’arg., Saint-Mandé. Rue des Marais, 44, Paris.;209;La Seine à Choisy-le-Roi;;
DELAMARE (Mme Charlotte);, née à Rouen, élève de M. Zacharie. — Place Saint-Hilaire, 1, Rouen.;210;Un savetier dans son échoppe.;;
DELAMARE (Mme Charlotte);, née à Rouen, élève de M. Zacharie. — Place Saint-Hilaire, 1, Rouen.;211;Chanson du printemps.;;
DELAMBRE (Léon-Pierre);, né à Paris, élève de Louis-J. -B. Boulanger. — Chailly-en- Bierre (Seine-et-Marne).;212;La route de Paris, dans la forêt de Fontainebleau.;dans la forêt de Fontainebleau.;
DELATTRE (Joseph);, né à Déville-lès-Rouen (Seine-Inférieure), élève de MM. Gérome et Lebel, méd. d’arg., 1886, méd. vas 1888, Rouen. — Grande-Route, 163. Déville-lès-Rouen.;213;Vue de Rouen, temps gris. Appartient à M. Donard.;temps gris. Appartient à M. Donard.;
DELATTRE (Joseph);, né à Déville-lès-Rouen (Seine-Inférieure), élève de MM. Gérome et Lebel, méd. d’arg., 1886, méd. vas 1888, Rouen. — Grande-Route, 163. Déville-lès-Rouen.;214;Vue de Rouen. Appartient à M. le Dr Rocher.;;
DELAUNAY (Jules);, né à Paris, élève de M. J.-P. Laurens. — Rue Fontaine-Saint-Georges, 13, Paris.;215;Liseuse.;;
DELAUNAY (Jules);, né à Paris, élève de M. J.-P. Laurens. — Rue Fontaine-Saint-Georges, 13, Paris.;216;« Vous regardez ma mouche, Monsieur ? » Alfred de Musser : la Mouche ;Monsieur ? » Alfred de Musser : la Mouche (chap. V).;
DELHUMEAU, (Gustave-Henri-Eugène),;  né. aux Moutiers-les-Maufaits (Vendée), élève de A. Cabanel, M. H., Paris. 1889., 1889.E.U., dipl. d’hon, et méd. d’or à Londres. — Rue Bayen, 34, (Ternes) Paris. 217 Namouna.;218;Portrait de Mlle M. de M... du Lys.;;
DELPY (Camille);, né à Joigny (Yonne), élève de Daubiguy et Corot, M. H., Paris, méd. 3° cl., Paris, 1884. — Rue Caumartin, 9, Paris.;219;La Seine à Oissel, le matin ;le matin (près Rouen).;
DELPY (Camille);, né à Joigny (Yonne), élève de Daubiguy et Corot, M. H., Paris, méd. 3° cl., Paris, 1884. — Rue Caumartin, 9, Paris.;220;Soir d’automne, la Seine ;(près Vernon).;
DEMAGNY Georges);, né à Bayeux (Calvados). élève de M. H. Bonnefoy, M. H.. Versailles, 1889, méd. br., Boulogne-sur-Mer. 1890. — Avenue Malakoff, 157, Paris.;221;Intérieur d’atelier.;;
DEMAGNY Georges);, né à Bayeux (Calvados). élève de M. H. Bonnefoy, M. H.. Versailles, 1889, méd. br., Boulogne-sur-Mer. 1890. — Avenue Malakoff, 157, Paris.;222;La Seine à Ivry ;(effet d’orage).;
DENET (Charles);, né à Evreux, élève de M. Bonnat, prix de la Ville de Rouen, Exposi- tion de la Société des Amis des Arts, 1889, méd. en province. — Rue Saint-Léger, 38, Evreux, et rue Jouffroy, 2, Paris.;223;Portrait du peintre Fernand Landais.;;
DENET (Charles);, né à Evreux, élève de M. Bonnat, prix de la Ville de Rouen, Exposi- tion de la Société des Amis des Arts, 1889, méd. en province. — Rue Saint-Léger, 38, Evreux, et rue Jouffroy, 2, Paris.;224;Au saut du lit.;;
DÉNEUX (Gabriel),; élève de Cabanel et de M. Gé- rôme, M. H. — Rue Lécluse, 6, Paris.;225;Le feu du pardon de N.-D. de la Clarté ;(Côtes-du- Nord) (peinture à l’encaustique des anciens Grecs);
DÉNEUX (Gabriel),; élève de Cabanel et de M. Gé- rôme, M. H. — Rue Lécluse, 6, Paris.;226;La rentre au parc ;(peinture à l’encaustique des auciens Grecs).;
DERIGNY (Mlle Jeanne) née à Lunéville (Meurthe;et-Moselle), élève de MM. Jules Lefebvre et Ben jamin Constant. — Rue Guillaume-Tell, 34 bis Paris.;227;Bouquet de lilas.;;
DERIGNY (Mlle Jeanne) née à Lunéville (Meurthe;et-Moselle), élève de MM. Jules Lefebvre et Ben jamin Constant. — Rue Guillaume-Tell, 34 bis Paris.;228;Groseilles et abricots.;;
DERONDEL (Mme Marie);, née à Bourg-la-Reine (Seine), élève de M. Ballavoine. — Rue de la Mare, 92, Paris.;229;Fillette aux lilas.;;
DESCAMDS-SABOURET (Mme Louisa-Cécile) née;à Paris, élève de M. Tony Robert-Fleury. — Rue de la Présentation, 11, Paris.;230;Melon et fruits. PEINTURE.;;
DESCAMDS-SABOURET (Mme Louisa-Cécile) née;à Paris, élève de M. Tony Robert-Fleury. — Rue de la Présentation, 11, Paris.;41;;;
;231. Bibelots et roses de Nice.;231;Bibelots et roses de Nice. DESCHAMPS ;(Louis) né à Montélimar (Drome), élève de Cabanel, H. C. — Boulevard Berthier, 31, Paris.;
;232. Joueur de flûte.;232;Joueur de flûte. DESGOFFE ;(Blaise), né à Paris, élève de H. Flandrin et de M. Bouguereau, méd. 3e cl., Paris;
;232. Joueur de flûte.;1861;, 2e cl., 1863, x 1878. — Rue Dutot, 1, Paris.;1863, x 1878. — Rue Dutot, 1, Paris.;
;232. Joueur de flûte.;233;Verre de cristal de roche, gravé, du Musée du Louvre ;gravé, du Musée du Louvre (étude).;
Appartient à M.; A. Darcel.;;DEUILLY ;(Eugène-Auguste-François), né à Lille,;
Appartient à M.; A. Darcel.;;élève de MM. Gérôme, Auguste et Léon Glaize.;Auguste et Léon Glaize.;
Appartient à M.; A. Darcel.;;M. H., Paris, 1888, méd. 3e cl., 1889, méd. d’arg.,;Paris, 1888, méd. 3e cl., 1889, méd. d’arg.,;
Appartient à M.; A. Darcel.;;Rouen, 1888. — Rue de Vaugirard, 103, Paris;1888. — Rue de Vaugirard, 103, Paris;
;234. Le rêve et la réalité.;234;Le rêve et la réalité. DEYBOLLE ;(Théophile), né à Paris, élève de Cabanel et- de M. Bouguereau, M. H., Paris,;
;234. Le rêve et la réalité.;48;-E. U., H. C. — Concarneau ;(Finistère).;
;234. Le rêve et la réalité.;235;Marchande de moules.;;
;236. Lavoir breton.;236;Lavoir breton. DEZOBRY ;(Arthur-Louis-Henri), né à Montmo rency, élève de Ségé, de Boulanger et de M. J. Le febvre, méd. 3e cl. Evreux, 1886, méd. de br. Amiens, 1887 — Rue Bague, 2, Montmorency.;
;237. Le Sierroz (Savoie).;237;Le Sierroz ;(Savoie). DIDIER-POUGET (William), né à Toulouse, élève de Baudit, de Lalanne et de M. Auguin, méd. de verm., Arcachon, 1888, med. d’arg., Montpellier,;
;237. Le Sierroz (Savoie).;1890;, M. H., Paris, 1890. — Boulevard de Clichy,;Paris, 1890. — Boulevard de Clichy,;
;237. Le Sierroz (Savoie).;238;Le soir ;(route de Lourdes).;
;237. Le Sierroz (Savoie).;239;Le passage à niveau ;(effet de soir).;
DILIGRON (Alfred);, né à Rouen, élève de Morinet de Daubigny et de M. Guillemet. — Rue du Champ-du-Pardon, Rouen.;240;Vue de Rouen.;;
DILLON (Henri-Patrice);, né à Son Francisco) (Californie ) de parents français, élève de M Carolus Duran, M. H., Paris, 1890. — Boulevard Rochechouart, 84, Paris.;241;La lampe.;;
DILLON (Henri-Patrice);, né à Son Francisco) (Californie ) de parents français, élève de M Carolus Duran, M. H., Paris, 1890. — Boulevard Rochechouart, 84, Paris.;242;La politique. Voir à la Gravure.;;
DONNADIEU (Mme Jeanne);, née à Paris, élève de Feyen-Perrin et de MM. Bin, Krug et Lévy, M. H., Paris, 1886, méd. de verm., Amiens. — Rue Victor-Massé, 17, Paris.;243;La cuisson du pain à La Barbinière ;(Bretagne).;
DORNOIS (Albert);, né à Sévigné (Orne), élève de Lalanne, de Pelouse et de M. J. Léfebvre, M. H., Paris, 1889 E. U. — Boulevard Malesherbes, 192, Paris;244;Vallon de Sainte-Honorine près Port-en-Bessin. Voir aux Dessins et à la Gravure.;;
DROUIN (Mme Claire-Alice);, née à Rouen, M. H., Rouen, 1889. — Rue des Arsins, 2, Rouen.;245;Chrysanthèmes.;;
DROUIN (Mme Claire-Alice);, née à Rouen, M. H., Rouen, 1889. — Rue des Arsins, 2, Rouen.;246;Le journal ;(étude).;
DUBOURG (Louis-Alexandre);, né à Honfleur, élève de L. Cogniet, A x. — Rue Saint-Léonard, 45, Honfleur.;247;Pêcheuses de crabes.;;
DUBOURG (Louis-Alexandre);, né à Honfleur, élève de L. Cogniet, A x. — Rue Saint-Léonard, 45, Honfleur.;248;Une table de cuisine.;;
DUBOURG (Charles);, né à Louviers, élève de M. A Duboc, méd. 3 cl., et méd. de verm., Evreux, 1886 et 1890. — Ancien couvent Sainte Barbe, par Louviers.;249;Un bras de l’Eure à Becdal. Voir aux Dessins et à la Gravure.;;
