Nam et prénom de l'exposant;Informations complémentaire;Numéro;Titre;Informations complémentaires
Ivan Le Lorraine ALBRIGHT ;(EE. UU. 1897 —);1;Mulher — 1928 . 84x56. Museum of Modern Art, New York;— 1928 . 84x56. Museum of Modern Art, New York;
William BAZIOTES ;(EE. UU. 1911 —);2;Natureza morta — máscaras — 1946 — 91x122. Philip C. Johonson, New York;— máscaras — 1946 — 91x122. Philip C. Johonson, New York;
William BAZIOTES ;(EE. UU. 1911 —);3;O sonâmbulo — 1951. 122x102. The Kootz Gal¬ lery, New York;— 1951. 122x102. The Kootz Gallery, New York;
Hyman BLOOM ;(Latvia, 1913 —);4;A noiva — 1945. 127x63,5. Durlacher Brothers, New York;— 1945. 127x63,5. Durlacher Brothers, New York;
Hyman BLOOM ;(Latvia, 1913 —);5;Tesouro escondido — 1947. 109x109. Durlacher Brothers, New York;— 1947. 109x109. Durlacher Brothers, New York;
Peter BLUME ;(Russia, 1906 —);6;O rochedo — 1948. 147x188. Edgar Kaufmann Jr., New York;— 1948. 147x188. Edgar Kaufmann Jr., New York;
Charles BURCHFIELD ;(EE. UU. 1893 —);7;Inverno — 1930-43. Aquarela. 81x104. Interna¬ tional Business Machines Corporation;— 1930-43. Aquarela. 81x104. International Business Machines Corporation;
Charles BURCHFIELD ;(EE. UU. 1893 —);8;Um dia de meio-inverno — 1945. aquarela. 72x64. Frank K.M. Hehn Galleries, New York;— 1945. aquarela. 72x64. Frank K.M. Hehn Galleries, New York;
Charles BURCHFIELD ;(EE. UU. 1893 —);9;Esfinge e via-láctea — 1946. aquarela s/papel. Utica, N. Y.;— 1946. aquarela s/papel. Utica, N. Y.;
Stuart DAVIS ;(EE. UU. 1894 —);10;'Ursine Park' — 1942. 50,8x103. International Business Machines Corporation;— 1942. 50,8x103. International Business Machines Corporation;
Stuart DAVIS ;(EE. UU. 1894 —);11;“Arboretum by flashbulb” — 1942. 45x91. Sr. e Sra. Milton Lowenthal, New York;— 1942. 45x91. Sr. e Sra. Milton Lowenthal, New York;
