Nam et prénom de l'exposant;Informations complémentaire;Numéro;Titre;Informations complémentaires
RAPIN, Alexandre.;Paris.;217;Entrée de village ;(Normandie). . . . fr. 400;
REGNAULT, Émile;Nevy-sur-Seille (Jura).;218;Estafettes arabes attendant des ordres dans la cour du Bardo ;(Tunis) . . 1000;
REIBER, Paul.;Strasbourg.;219;Nature morte.;;
RIEDMULLER, Chevalier Xavier,; de Stuttgart.;220;Matinée de printemps ;(bords de la Rems) 375;
RIEDMULLER, Chevalier Xavier,; de Stuttgart.;221;Le soir en Italie. . . . . . . . . . 1875;;
RINCKENBACH, Edmond.;Strasbourg.;222;Portrait de Mad. R.;;
RINCKENBACH, Edmond.;Strasbourg.;223;Portrait de M. R.;;
RINCKENBACH, Edmond.;Strasbourg.;224;Seule!. . . . . . . . . . . . . . . 250;;
RISLER.;;225;Portrait de fillette.;;
RISLER.;;226;Jeune fille effeuillant une marguerite.;;
ROBINSON, Henry.;Anglais. — Concarneau.;227;Poulailler. . . . . . . . . . . . 300;;
ROLL, Alfred-Philippe.;Paris.;228;Dame avec des coquelicots. . . . . 6000;;
ROLL, Alfred-Philippe.;Paris.;229;Fleurs. . . . . . . . . . . . . . . 2000;;
RONNER, Mad.; Henriette. Hollandaise. — Bruxelles.;230;Un larron. . . . . . . . . . . . . fr. 1600;;
RONNER, Mad.; Henriette. Hollandaise. — Bruxelles.;231;Au soleil. . . . . . . . . . . . . 1100;;
ROUGE, Charles.;Saverne.;232;Porte romane à Neuwiller, les sculp¬ tures du tympan ont été remises au jour en janvier 1884 ;les sculptures du tympan ont été remises au jour en janvier 1884 (aquarelle). . 25;
ROUGE, Charles.;Saverne.;233;Cercle de Saint-Michel près de Saint¬ Jean-des-Choux, emplacement pro¬ bable d’un ancien temple circulaire païen ;emplacement probable d’un ancien temple circulaire païen (aquarelle). . . . . . . . . 25;
ROUGE, Charles.;Saverne.;234;Vieilles maisons à Bouxwiller, 17e siècle;17e siècle;
