Nam et prénom de l'exposant;Informations complémentaire;Numéro;Titre;Informations complémentaires
Bihari Sàndor;;1;La nutrice.;;
Boruth Andor;;2;Sitiuora in nero.;;
Bosznay István;;3;Nella puszta di Radvàny ;(appartiene allo Stato ungherese).;
Bruck Miksa;;4;Nella propria casetta ;(appartiene allo Stato ungherese).;
Deàk Ébner Lajos;;5;</v> Il mercato del pollame ;(appartiene allo Stato ungherese).;
Ferenczy Károly;;6;II pittore e il suo modello ;(appartiene allo Stato Ungherese).;
Ferenczy Károly;;7;Paesaggio ;(appartiene allo Stato ungherese).;
Ferenczy Károly;;8;Sera d‘Aprile.;;
Grünwald Béla;;9;Nella valle ;(appartiene allo Stato ungherese).;
Knopp Imre;;10;Interno.;;
Làszló Fülöp Elek;;11;Ritratto del Conte Pierre de Vay.;;
Lotz Karoly;;12;Ritratto di fanciullo.;;
Magyar-Mannheimer Gusztàv;;13;Mattino sul lago di Balaton ;(appartiene allo Stato ungherese).;
Màrk Lajos;;14;Ritratto di Signora.;;
Mednyànszky báró László;;16;L’alba ;(appartiene allo Stato ungherese).;
